商家名称,商家图片,联系人,联系电话,微信号,入驻时长（单位：月）,商家地址,简介
晶莹矿水公司第二配水站,https://taojin-his.cdn.bcebos.com/ac4bd11373f082022499c78745fbfbedab641b7a.jpg,(0556)5357789,(0556)5357789, ,6,浮山路国泰花园, 
龙泉纯水,https://poi-pic-gz.cdn.bcebos.com/pic_2e0e5c7d0e4ba6b6917f7ac9d8db05c9.jpeg,13365767778,13365767778, ,6,安庆市迎江区龙山路香港蝴蝶酒店(安庆授权店)东南侧约60米, 
好水之家,https://poi-pic-gz.cdn.bcebos.com/pic_fd2fa24c418c11a42421cec74feec67c.jpeg,(0556)2185438/13505567988,(0556)2185438/13505567988, ,6,安庆市岳西县天堂路安徽省岳西县实验小学北侧约140米, 
海晶纯水(解一水站),https://taojin-his.cdn.bcebos.com/b151f8198618367a8d44e02c22738bd4b21ce576.jpg,(0552)3015699,(0552)3015699, ,6,安徽省蚌埠市龙子湖区治淮路632号, 
清怡水坊,https://taojin-his.cdn.bcebos.com/f11f3a292df5e0febd45daa0526034a85edf7235.jpg,(0552)6027066/(0552)6096111,(0552)6027066/(0552)6096111, ,6,浍河东路清怡雅阁苑13号楼, 
海晶纯净水,https://taojin-his.cdn.bcebos.com/f7246b600c338744cc970db95d0fd9f9d62aa0a0.jpg,15395209019,15395209019, ,6,蚌埠市禹会区长丰路翠竹居东南侧, 
九州龙泉桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_300691987aac115ffa46aefd78c44354.jpeg,18956879278,18956879278, ,6,亳州市蒙城县北蒙大道蒙城县第八中学西北侧约160米, 
桶装水配送中心,https://lbsugc.cdn.bcebos.com/images/B656be3932a379108bd.jpeg,(0566)5024688/13156610303,(0566)5024688/13156610303, ,6,安徽省池州市青阳县蓉城镇庙前路196号, 
桶装饮用水,https://poi-pic-gz.cdn.bcebos.com/pic_c33e55e75621696933591ce7ac4ba984.jpeg,13856634268,13856634268, ,6,池州市贵池区沪聂线殷实花园东北侧约260米, 
永胜水咀店,https://poi-pic-gz.cdn.bcebos.com/pic_525fbf83f6621512426e0fb038c8d35c.jpg,13013048644/18256645199,13013048644/18256645199, ,6,安徽省池州市东至县西尧南路与尧南路交叉口西南20米, 
田源纯净水,https://taojin-his.cdn.bcebos.com/8694a4c27d1ed21b55486f1ba96eddc450da3f4e.jpg,(0561)6883838,(0561)6883838, ,6,安徽省淮北市濉溪县淮海路126号, 
纯净水店,https://taojin-his.cdn.bcebos.com/0823dd54564e9258fe20c1a59f82d158ccbf4e60.jpg,15956138788,15956138788, ,6,淮北市相山区高岳路华松民生小区东南侧约100米, 
益加力天然深岩水(李佳网点),https://poi-pic-gz.cdn.bcebos.com/pic_ad73906921004d4595facd070f62e20a.jpeg,13215618468,13215618468, ,6,安徽省淮北市杜集区０２２乡道与００４县道交叉口南约120米, 
仙寓山泉(马鞍山总代理),https://lbsugc.cdn.bcebos.com/images/8c4ab5a6530bc4298940acb9d249a435_8862.jpeg,18855564729,18855564729, ,6,安民街道永丰河路351号, 
巴马活泉(和县店),https://poi-pic-gz.cdn.bcebos.com/pic_6ec436eb0bfdb73cf7a1d883279d6edd.jpg,17755508166/18395590987,17755508166/18395590987, ,6,马鞍山市和县望江路印象滨河北侧约150米, 
胖子供水供气站,https://poi-pic-gz.cdn.bcebos.com/pic_1ce2787ed81ee355796bfeb248153093.jpg,(0553)5808717,(0553)5808717, ,6,芜湖市鸠江区长江北路芜湖市鸠江区医院南侧约100米, 
零距离桶装水配送中心,https://poi-pic-gz.cdn.bcebos.com/pic_d2095c07f202bb4d2427d7e13f9b5b2d.jpeg,(0557)5020727,(0557)5020727, ,6,淮海西路龙城镇中心小学西北侧约100米, 
益加力天然深岩水,https://poi-pic-gz.cdn.bcebos.com/pic_7b9e23de3f413c502659dc5c7c6bb916.jpeg,16555717111,16555717111, ,6,宿州市砀山县人民西路华夏童年幼儿园东侧约90米, 
康源水业(二店),https://poi-pic-gz.cdn.bcebos.com/pic_1a873a7675fbd782132d65af2770fda1.jpeg,18712333713,18712333713, ,6,六安市霍邱县光明大道霍邱县公安局城关派出所东北侧约170米, 
天然泉净水总汇,https://poi-pic-gz.cdn.bcebos.com/pic_e5b880394a3159102e3f6aca214ac9e8.jpeg,13733008458,13733008458, ,6,六安市裕安区横排头路大唐美林湾-南区, 
蓝蓝桶装水配送经营部,https://poi-pic-gz.cdn.bcebos.com/pic_cf3c0ab2bd132a3d5a310a389d4c79fc.jpeg,18056060891,18056060891, ,6,安徽省合肥市包河区淝河路华中汽配城B15-04号, 
蓝蓝水业(万绿园店),https://photo-meituan.cdn.bcebos.com/photo/1692211418f5a7d290df6269556f78339a4388f47d,15655180959,15655180959, ,6,定远路万绿园小区门面28号, 
蓝蓝水业(芙蓉路店),https://photo-meituan.cdn.bcebos.com/photo/16979677522f88318c61a6c6ec5f48057d6416c4ba,4008641888,4008641888, ,6,芙蓉路791号, 
合肥市水泓桶装水配送服务中心旗舰店,https://lbsugc.cdn.bcebos.com/images/B62e7b3c6a628bdd95.jpeg,19159135468,19159135468, ,6,安徽省合肥市庐阳区银杉路森林公园红梅苑小区, 
天露源纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_93983b5ef63bcbe023b4325ff658d57b.jpg,13856397246,13856397246, ,6,安徽省宣城市绩溪县西山90号, 
六股尖山泉水,https://poi-pic-gz.cdn.bcebos.com/pic_d38a80058b6f58be1582f5e6eecc5bfe.jpeg,18356935718/18755917255,18356935718/18755917255, ,6,黄山市休宁县率水东路万宁小区, 
徽州水业店,https://poi-pic-gz.cdn.bcebos.com/pic_beab4d7936e680884bb3be910505ce61.jpeg,13083234701/13855920187,13083234701/13855920187, ,6,安徽省黄山市徽州区龙井大道40号, 
石尔山矿泉水,https://poi-pic-gz.cdn.bcebos.com/pic_62cd2814e08b8e0ec8ed1e3fc8a8ab16.jpeg,(0559)6750464,(0559)6750464, ,6,黄山市歙县Y009郑村滨河花园东侧约130米, 
老黄酒水,https://poi-pic-gz.cdn.bcebos.com/pic_45022034b0f0213f0488be2811bdec99.jpeg,(0530)5053526,(0530)5053526, ,6,山东省菏泽市牡丹区牡丹南路2588号, 
崂山湾泉水(曹县店),https://poi-pic-gz.cdn.bcebos.com/pic_8d8b3e74b57a0eccbce957e8b74e8464.jpeg,18865038611,18865038611, ,6,山东省菏泽市曹县青岛路辅路, 
兰桂仁尚品坊饮用水店,https://lbsugc.cdn.bcebos.com/images/66a338cae6963afb3a490535cba3e41b_1746.jpeg,(0530)8845998/(0530)8883866,(0530)8845998/(0530)8883866, ,6,菏泽市成武县通乐路山东省成武第二中学西南侧约140米, 
农夫山泉桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_28697ce8be3c42c88976247ef1e500cc.jpeg,95077,95077, ,6,菏泽市东明县农艺苑小区东南侧约140米, 
文景水店,https://taojin-his.cdn.bcebos.com/96dda144ad3459827bf24a3307f431adcbef8413.jpg,(0535)2978518/13573570909/15098493460,(0535)2978518/13573570909/15098493460, ,6,山东省烟台市芝罘区上夼东路53号, 
瑞昌水行,https://taojin-his.cdn.bcebos.com/4d086e061d950a7bdbde47c106d162d9f3d3c9c8.jpg,(0535)4164567,(0535)4164567, ,6,正阳路601-8号, 
丽安水业,https://poi-pic-gz.cdn.bcebos.com/pic_c9cbf5a149aa468b6c49ba70ee0d5ccb.jpeg,13780963437,13780963437, ,6,烟台市莱州市城港路莱州市农村商业银行(三山岛支行)西侧约150米, 
农夫山泉(黄河一路店),https://taojin-his.cdn.bcebos.com/024f78f0f736afc32da89f4bbc19ebc4b7451273.jpg,13581151917,13581151917, ,6,山东省滨州市滨城区渤海十七路黄河七路西150米路北丽景新园沿街, 
小国送水,https://poi-pic-gz.cdn.bcebos.com/pic_e1e1671b6cf6704683711a2da58e7b7d.jpeg,15621235988,15621235988, ,6,德州市夏津县锦纺街四季城小区东南侧约230米, 
泰山泉水,https://poi-pic-gz.cdn.bcebos.com/pic_eac157809645054dac12155d099a1b17.jpeg,(0534)8866697,(0534)8866697, ,6,德州市临邑县天津路宏宇住宅区, 
红河山泉直销处(伦达店),https://poi-pic-gz.cdn.bcebos.com/pic_beb77da4d0815a7447d75747fed6371b.jpeg,18863224759,18863224759, ,6,大同北路伦达商贸城小吃街路南, 
青昌水业,https://taojin-his.cdn.bcebos.com/8326cffc1e178a82c4643de4f803738da977e81e.jpg,(0536)6297915/13583634338,(0536)6297915/13583634338, ,6,山东省潍坊市昌乐县文化路23号, 
农夫山泉大桶水矿泉水小瓶水(民生东街店),https://photo-meituan.cdn.bcebos.com/photo/17388257659e9578a1f5eb566e109e3d305f19b01d,15006361506,15006361506, ,6,新华路与民生东街交叉口向西100路北（农夫山泉）, 
小林水店,https://poi-pic-gz.cdn.bcebos.com/pic_fbd9d06dbe712581b9e1ab7b5bf4f5e5.jpeg,(0536)7221220,(0536)7221220, ,6,东利商城D2-6, 
樱泉水业,https://lbsugc.cdn.bcebos.com/images/B65c49d201245e182bf.jpeg,13516368619,13516368619, ,6,潍坊市潍城区友爱路康馨苑门头2-3号, 
龙达水业,https://taojin-his.cdn.bcebos.com/dbb44aed2e738bd47820bfe6af8b87d6267ff9e0.jpg,13589186610,13589186610, ,6,禧源路560号, 
立鑫水站,https://taojin-his.cdn.bcebos.com/b7003af33a87e95024b4f9261e385343faf2b4dc.jpg,(0533)7189902,(0533)7189902, ,6,淄博市临淄区牛山路牛山园东北侧约30米, 
小丽送水,https://photo-meituan.cdn.bcebos.com/photo/17055615427f74abd9c531b7b75ee0083547fe3c4a,(0635)3957960,(0635)3957960, ,6,鼓楼西路354号, 
娃哈哈桶装水(灵芝专卖店),https://taojin-his.cdn.bcebos.com/b219ebc4b74543a916bb935910178a82b8011486.jpg,(0538)8586088/13954880051,(0538)8586088/13954880051, ,6,山东省泰安市泰山区岱阳大街203-11号, 
娃哈哈桶装水,https://taojin-his.cdn.bcebos.com/7a899e510fb30f241b315994c695d143ac4b03f9.jpg,15163825543,15163825543, ,6,山东省泰安市岱岳区南天门大街(御景龙城), 
福水源桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_d8804b44ca7d7bd3eedaa2647c8c9ff5.jpeg,15662002886,15662002886, ,6,新时代红绿灯往西100米路北, 
农夫山泉·恒大冰泉,https://lbsugc.cdn.bcebos.com/images/B6704a1e9a375014475.jpeg,18053722288,18053722288, ,6,济宁市嘉祥县呈祥大道孔庄社区-南区东侧, 
万家清泉天然矿泉水,https://poi-pic-gz.cdn.bcebos.com/pic_185ac1a606eea4d51fcf1e71b5cca74e.jpg,(0537)2285066/(0537)2285099,(0537)2285066/(0537)2285099, ,6,共青团路5-4号, 
纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_fc3c6aa2712c0088d876d31f6a846d70.jpeg,15206763385,15206763385, ,6,济宁市微山县傅村镇第一中学西北侧约80米, 
天然泉矿泉水经营部,https://poi-pic-gz.cdn.bcebos.com/pic_328a5640e65fb3a94520240f5019be91.jpeg,13220810088,13220810088, ,6,山东省济宁市金乡县金山北街222号, 
高峰水业,https://poi-pic-gz.cdn.bcebos.com/pic_93abfdb31ed7f930b317ad5dc07a218f.jpeg,15063183666,15063183666, ,6,山东省威海市荣成市杨桥街虹桥南区, 
兰山区王语泽桶装水送水站,https://lbsugc.cdn.bcebos.com/images/B664fc459878117f77.jpeg,15092383960/18669482717,15092383960/18669482717, ,6,临沂市兰山区金雀山路欣悦小区, 
农夫山泉(兰陵店),https://poi-pic-gz.cdn.bcebos.com/pic_687b464fbac61d14ff513758d09161a3.jpeg,17661518881,17661518881, ,6,临沂市兰陵县兰陵路东苑富贵佳园小区, 
斯文水站,https://taojin-his.cdn.bcebos.com/b64543a98226cffc278e309fb4014a90f603ea73.jpg,17805314586,17805314586, ,6,山东省济南市槐荫区段北东路4号院, 
普利思送水站,https://poi-pic-gz.cdn.bcebos.com/pic_efbad16c193510636bb13d07914c23cd.jpeg,15666015080,15666015080, ,6,山东省济南市历城区益寿路甸柳庄社区29号楼一单元平房, 
崂天清泉水站,https://lbsugc.cdn.bcebos.com/images/B665c146041f26d648.jpeg,17685821969,17685821969, ,6,山东省青岛市城阳区恒大御澜国际三期147号楼, 
淳蓝山泉水(淮阳路店),https://taojin-his.cdn.bcebos.com/34fae6cd7b899e5105aac21f4ca7d933c8950d90.jpg,(0532)68005555,(0532)68005555, ,6,淮阳路17号, 
星月供水,https://poi-pic-gz.cdn.bcebos.com/pic_71c265e8deeb4b81e3c7788c34368b82.jpeg,17669663239,17669663239, ,6,青岛市即墨区盛兴路新昌街20号, 
大桶水配送,https://poi-pic-gz.cdn.bcebos.com/pic_5adfc80be12b35084559beed65d50375.jpeg,13156030438,13156030438, ,6,青岛市李沧区铜川路绿城理想之城蓝庭-E区, 
浮来清纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_abff2f2dd655c1b7340bd57888b9e509.jpg,(0633)7881561,(0633)7881561, ,6,日照市莒县城阳北路223号莒县自来水沿街楼, 
宏川水站,https://poi-pic-gz.cdn.bcebos.com/pic_cc7a8d5c5dbe6818a861738175091b80.jpeg,15763383558,15763383558, ,6,日照市五莲县龙河路日照市北客运站北侧约200米, 
思源水业(城东营销配送中心),https://taojin-his.cdn.bcebos.com/a71ea8d3fd1f413408bb37d22b1f95cad0c85e89.jpg,(0358)8495590,(0358)8495590, ,6,庆瑞路与龙山路交叉口西150米, 
七加桶装水工厂店,https://poi-pic-gz.cdn.bcebos.com/pic_dad70b21f453357a180e28193f98a761.jpeg,18234836365,18234836365, ,6,北盛北门亨利大酒店对面, 
安洁饮用水加盟店,https://taojin-his.cdn.bcebos.com/2cf5e0fe9925bc31edb3eff950df8db1ca1370e1.jpg,13283673830,13283673830, ,6,吕梁市孝义市永盛路孝义市第七中学东南侧约120米, 
天天一泉,https://poi-pic-gz.cdn.bcebos.com/pic_f3cbfd7c1c8945c7017b03f2ebd0c9ce.jpeg,15803583018,15803583018, ,6,吕梁市柳林县华晋小区北侧约100米, 
福德林山泉水,https://lbsugc.cdn.bcebos.com/images/B6141c9b1becc9a188.jpeg,(0357)3355777,(0357)3355777, ,6,山西省临汾市乡宁县昌宁镇下宽井村, 
海斯饮用纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_7d1c2e7a7ab99f2a2c0f701885e0af80.jpeg,(0356)3620516/(0356)3620616,(0356)3620516/(0356)3620616, ,6,畅安路王台铺矿第五小区东南侧约60米, 
山西来自五湖饮品有限公司,https://taojin-his.cdn.bcebos.com/6f061d950a7b020872b507006ed9f2d3562cc8d6.jpg,(0356)4837666,(0356)4837666, ,6,新阳西街224号, 
康净泉纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_26726f1bbdf16a768814eda052aecd98.jpg,(0352)2032291,(0352)2032291, ,6,永宁路兴同里27号楼, 
天天纯净水,https://taojin-his.cdn.bcebos.com/f603918fa0ec08fadbfabfde54ee3d6d54fbdad5.jpg,(0352)7016626/(0352)7018266,(0352)7016626/(0352)7018266, ,6,大同市云冈区锦绣家园2号, 
官儿山泉,https://poi-pic-gz.cdn.bcebos.com/pic_1065e4f229fd17d2c8c26ab986575d4f.jpeg,(0352)8381000/18734671952,(0352)8381000/18734671952, ,6,大同市浑源县桑都小区东南侧约30米, 
纯净水新天地,https://poi-pic-gz.cdn.bcebos.com/pic_5a383aad1e9b88a7e6556fe86f179e7f.jpeg,13503522700,13503522700, ,6,山西省大同市左云县云兴镇东街龙盛商厦东南侧约110米, 
海斯饮用水(上党区店),https://taojin-his.cdn.bcebos.com/5d6034a85edf8db1075e8f830523dd54574e74e1.jpg,(0355)8082870,(0355)8082870, ,6,长治市上党区医东巷光明小学北侧, 
凯娇桶装水配送,https://lbsugc.cdn.bcebos.com/images/B65410efb306a1607c.jpeg,13111004445,13111004445, ,6,山西省太原市杏花岭区建设北路270号, 
益新水站,https://poi-pic-gz.cdn.bcebos.com/pic_23dc6a61ee4fc0809956c4c7cdd35c2f.jpeg,15658533222,15658533222, ,6,山西省太原市小店区大吴社区南大街39号第一间, 
速达桶装水经销部,https://lbsugc.cdn.bcebos.com/images/B646d8b86767bc6b9a.jpeg,15135110417,15135110417, ,6,山西省太原市万柏林区瓦窑街76号, 
泉外泉纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_823aaa9f5a869c33c8fc17b24e319633.jpg,18334767602,18334767602, ,6,太原市尖草坪区迎新北二巷新华北小区, 
凤凰山山泉袋装水,https://taojin-his.cdn.bcebos.com/10dfa9ec8a1363275bea13db9f8fa0ec09fac7d7.jpg,(0354)6261234/17835423456,(0354)6261234/17835423456, ,6,山西省晋中市太谷区内环路32号, 
天天一泉(运城营销服务中心),https://photo-meituan.cdn.bcebos.com/photo/17328212468449bee3860e7700bab6babd5cce14f8,(0359)2513111,(0359)2513111, ,6,学苑路东八里铺南一巷13号, 
水店(府东店),https://taojin-his.cdn.bcebos.com/83025aafa40f4bfb2020a0a50f4f78f0f636184a.jpg,(0359)8028601/(0359)8033591,(0359)8028601/(0359)8033591, ,6,运城市永济市市府东街怡和苑西北侧约110米, 
农夫山泉,https://poi-pic-gz.cdn.bcebos.com/pic_c43f4d70d8b3da4a62bd66c969efbdbe.jpeg,95077,95077, ,6,山西省运城市闻喜县桃园西街桃园新城1号楼, 
黄花源健康饮用水,https://taojin-his.cdn.bcebos.com/3ac79f3df8dcd100313be63e7f8b4710b9122f0d.jpg,(0359)5589009/(0359)5589019,(0359)5589009/(0359)5589019, ,6,运城市稷山县稷峰镇怡康小区楼下, 
天天净水,https://poi-pic-gz.cdn.bcebos.com/pic_fc646868805ed1090a0dcbce1d027870.jpeg,17735053344,17735053344, ,6,忻州市繁峙县滹源东大街东泰路小区东北侧约250米, 
兆海纯净水,https://poi-pic-gz.cdn.bcebos.com/pic_f3f35c85f6514b00d7ec66d6e8e11b8a.jpeg,15234942628,15234942628, ,6,仁里路235号(祥宇往北), 
小张纯净水经销部,https://poi-pic-gz.cdn.bcebos.com/pic_2d05f886e32a2713809a2d37de615224.jpeg,13097649224/18403484429,13097649224/18403484429, ,6,朔州市山阴县车站路先进中学西侧约170米, 
漾泉水业,https://taojin-his.cdn.bcebos.com/72f082025aafa40fe7a5c152a064034f79f019d9.jpg,(0353)8090682/13503535762,(0353)8090682/13503535762, ,6,金龙东街与高城山路交叉口东160米, 
昔阳山泉水,https://poi-pic-gz.cdn.bcebos.com/pic_da41e17880e30920a4fac008e62d1c89.jpeg,18303530918,18303530918, ,6,山西省阳泉市新建街330号, 
鲁阳水业,https://poi-pic-gz.cdn.bcebos.com/pic_7165ff03b1871266aeda78fde719ef22.jpeg,(0353)2036883,(0353)2036883, ,6,阳泉市郊区义井西街燕竹花园, 
新源山泉水,https://poi-pic-gz.cdn.bcebos.com/pic_c16611754907336e6ad7123e7b81dea8.jpeg,13531589680,13531589680, ,6,广东省潮州市饶平县顶宫新路105号, 
重庆水店,https://poi-pic-gz.cdn.bcebos.com/pic_45c81491f193eb48c33e579957476785.jpeg,15817771369,15817771369, ,6,东莞市兴山路龙洲大厦东南侧约180米, 
吉祥水店,https://poi-pic-gz.cdn.bcebos.com/pic_c00495a40af09747fd3fac6652596390.jpeg,13533921674,13533921674, ,6,广州市花都区红群村委路与天心南路交叉路口往东南约190米, 
康之源水店,https://lbsugc.cdn.bcebos.com/images/B66af10192fb021869f.jpeg,18824711982,18824711982, ,6,广东省广州市白云区和荔街4号, 
江南送水经营部,https://taojin-his.cdn.bcebos.com/9a504fc2d5628535219752619eef76c6a7ef637f.jpg,(020)34619121/13316119439,(020)34619121/13316119439, ,6,沙圩西大街36号, 
景田送水(南沙分店),https://photo-meituan.cdn.bcebos.com/photo/173917465282638dc1685b6bcb87e91f1870a3c18d,13145703458/15796669331,13145703458/15796669331, ,6,街星盛西街7号111房, 
天天送水店,https://poi-pic-gz.cdn.bcebos.com/pic_3251217472dc3d67d703091a827dc980.jpeg,18520028658,18520028658, ,6,广东省广州市黄埔区上堂村新村大街三巷10号, 
连州水角店,https://poi-pic-gz.cdn.bcebos.com/pic_94d45ad7a6f2d6075293912b15815552.jpeg,13413453014/13413483074,13413453014/13413483074, ,6,阳山大道126号之2号, 
农夫山泉(北江二路店),https://taojin-his.cdn.bcebos.com/d62a6059252dd42a3f1719ef0d3b5bb5c9eab853.jpg,(0763)3661511/(0763)3786115,(0763)3661511/(0763)3786115, ,6,迎宾馆市政府江滨公园店西北门北50米, 
国华水店,https://poi-pic-gz.cdn.bcebos.com/pic_735e52de87ef838c026255a0b60161e4.jpeg,15813237501,15813237501, ,6,清远市清新区新城路芽英岗, 
小鸽送水(民治店),https://photo-meituan.cdn.bcebos.com/photo/1736322913c2375a888d036b553814c1293b55b5d1,13410152505,13410152505, ,6,民顺路8-2-3号宝泰雅苑一楼商铺, 
广源送水中心,https://taojin-his.cdn.bcebos.com/5366d0160924ab1870593efd3bfae6cd7a890ba9.jpg,13798479225,13798479225, ,6,广东省深圳市坪山区联裕二路11号, 
健之源水超市,https://photo-meituan.cdn.bcebos.com/photo/1734419101625d145d23b4ad4a0248715b4664d249,13590694227,13590694227, ,6,季华西路先二新村2巷5号（国兴商场东50米）, 
富城水店,https://poi-pic-gz.cdn.bcebos.com/pic_e8f52fd29c4f6dfb672b9e943405901d.jpg,13679787380,13679787380, ,6,佛山市南海区伯奇路维也纳国际酒店(广佛泌冲店)北侧约130米, 
健力宝水店,https://taojin-his.cdn.bcebos.com/c9fcc3cec3fdfc03c771bf1bda3f8794a4c22603.jpg,(0757)87231193,(0757)87231193, ,6,三水区恒福水岸(成公路南), 
耀辉桶装水店,https://poi-pic.cdn.bcebos.com/001/046_e964e31b2dc97826dd9fd32de997d823.jpeg,18026613486,18026613486, ,6,广东省惠州市惠城区长岗岭老区48号, 
罗浮山百喜送水(商业东街店),https://poi-pic-gz.cdn.bcebos.com/pic_4f6fe0fb88cbca030fba38a1f9c679ec.jpeg,13413161075,13413161075, ,6,广东省惠州市博罗县商业东街198号, 
高屋水店,https://poi-pic-gz.cdn.bcebos.com/pic_db7220ee83dcab1727a5aed0d8dabfc4.jpg,13682578702,13682578702, ,6,惠州市惠阳区G228惠阳秀德中英文幼儿园东侧约110米, 
乌山塘天然山泉水,https://poi-pic-gz.cdn.bcebos.com/pic_53d49c5335bd4a62981828d650b10bbe.jpg,13553603073,13553603073, ,6,韶关市乐昌市昌山北路乐昌实验学校东北侧约110米, 
宝林山矿泉水(金沙水店),https://taojin-his.cdn.bcebos.com/359b033b5bb5c9ea43e1c28dd839b6003af3b34a.jpg,(0751)8286668,(0751)8286668, ,6,韶关市浈江区北江中路32号, 
樟源山泉(第十一分店),https://poi-pic-gz.cdn.bcebos.com/pic_c02212ff717516a847cf193a0dc41725.jpeg,13642576045/13642576046,13642576045/13642576046, ,6,韶关市曲江区X314白土中学东南侧, 
乳源必背山泉水(十八街门店),https://poi-pic-gz.cdn.bcebos.com/pic_01811f2f053f502fdf0c6f5ca8e7b43c.jpeg,13435138163,13435138163, ,6,韶关市武江区沐溪大道阳山幼儿园东侧约40米, 
康之源桶装水,https://poi-pic-gz.cdn.bcebos.com/pic_cf3d00e58433ae03a0eac4e3ca3fa067.jpg,(0662)2882555/13829807578,(0662)2882555/13829807578, ,6,广东省阳江市江城区东山路52号, 
莲平桶装水店,https://poi-pic-gz.cdn.bcebos.com/pic_9ab0145f329859a65d5417eae69c650f.jpeg,(0662)7718223,(0662)7718223, ,6,广东省阳江市阳春市莲平中路15号, 
农夫山泉(阳东店),https://poi-pic-gz.cdn.bcebos.com/pic_b5ebeda384c6ebdd58fd230d09842a59.jpeg,(0662)6602294,(0662)6602294, ,6,广东省阳江市阳东区永兴二路19, 
吉吉水店,https://taojin-his.cdn.bcebos.com/c2fdfc039245d688c2732b5aa8c27d1ed31b24de.jpg,(0762)6882608/13539145373,(0762)6882608/13539145373, ,6,广东省河源市龙川县老隆大道64号, 
紫金县城强记饮用水配送中心,https://poi-pic-gz.cdn.bcebos.com/pic_a6fcc33f94495708aad2fd0e419c7fb9.jpeg,(0762)7830877/(0762)7992196/(0762)7997193,(0762)7830877/(0762)7992196/(0762)7997193, ,6,河源市紫金县紫海路东风小区东北侧约120米, 
浪潮水店,https://taojin-his.cdn.bcebos.com/9c16fdfaaf51f3de1b2d58239aeef01f3b2979de.jpg,(0750)6610919,(0750)6610919, ,6,人民路43号, 
篁庄水店,https://taojin-his.cdn.bcebos.com/b8014a90f603738d8520f5b0bd1bb051f819ec3e.jpg,19927264331,19927264331, ,6,龙岗里76号, 
潖珍山泉装水点,https://poi-pic-gz.cdn.bcebos.com/pic_3237584588dc43611c268ddcc70bac48.jpeg,13244928889,13244928889, ,6,江门市鹤山市雅瑶镇潖珍村(永叙包装路口直入900米), 
皇粮优品(开平曙光路店),https://poi-pic-gz.cdn.bcebos.com/pic_8d765f3b06555da8296acadca399432f.jpeg,17007500750,17007500750, ,6,广东省江门市开平市曙光西路26号, 
华泉水店(台城龙舟店),https://taojin-his.cdn.bcebos.com/b219ebc4b74543a980f4212510178a82b801146f.jpg,13322883962,13322883962, ,6,江门市台山市龙舟路龙兴苑南侧约150米, 
鸿门水店,https://taojin-pic-gz.cdn.bcebos.com/bos_gz_9bb1f1ce329547d49601681424531f1b.jpg,15992526737,15992526737, ,6,揭阳市揭东区西关路万鑫楼南侧约110米, 
农夫山泉送水到府(莲花山服务站),https://poi-pic-gz.cdn.bcebos.com/pic_72035f62696b491e5d6d0ae8673961dd.jpeg,18928030366,18928030366, ,6,广东省珠海市香洲区九洲大道中1025号-37幢, 
汪之洋天然矿泉水(三灶专卖店),https://poi-pic-gz.cdn.bcebos.com/pic_53e6159db5508c29d5d78a623bddb5a3.jpeg,0756-7513006/18948151515,0756-7513006/18948151515, ,6,珠海市金湾区列圣南街五巷30号, 
汪之洋天然矿泉水(白藤头店),https://taojin-his.cdn.bcebos.com/dcc451da81cb39dbb9b9ef1bde160924ab183005.jpg,(0756)7253099,(0756)7253099, ,6,白藤3路康裕2期1栋6号铺, 
纯源桶装水配送中心,https://lbsugc.cdn.bcebos.com/images/B641abc9d3290618310.jpeg,(0754)85812182,(0754)85812182, ,6,汕头市澄海区振兴路汇璟花园-西区东南侧约30米, 
平记桶装水店,https://poi-pic-gz.cdn.bcebos.com/pic_6da0edccfd22b7b2af6e4e502e2218bf.jpeg,15815188876,15815188876, ,6,广东省汕头市潮阳区城南街道南丽园18幢101号铺, 
陈厝合桶装水配送部,https://poi-pic-gz.cdn.bcebos.com/pic_909b067d6f25749a5f69f96753639461.jpeg,13250194498,13250194498, ,6,汕头市龙湖区宁和街东和八巷汕头市龙湖区明日少年学校西北侧, 
娃哈哈桶装水(迎宾二路店),https://lbsugc.cdn.bcebos.com/images/a47fafc8ab817d45a67de72a8b70f682_2400.jpeg,18924382568,18924382568, ,6,广东省茂名市茂南区迎宾路128号大院-13号, 
康怡净水店,https://taojin-his.cdn.bcebos.com/314e251f95cad1c86c4b22fa7c3e6709c83d517f.jpg,(0668)7226200,(0668)7226200, ,6,广东省茂名市化州市西堤路38号, 
生命一号,https://poi-pic-gz.cdn.bcebos.com/pic_71237318f99642cd62f71cd3e3fc91dc.jpeg,(0668)6613618,(0668)6613618, ,6,广东省茂名市高州市河西路25号, 
兴宁市神宝矿泉饮料食品有限公司三月泉配送中心,https://taojin-his.cdn.bcebos.com/a71ea8d3fd1f4134200bdf6f2b1f95cad1c85ee7.jpg,(0753)3322190,(0753)3322190, ,6,广东省梅州市兴宁市西沿江中路85号, 
吉祥送水店,https://taojin-his.cdn.bcebos.com/58ee3d6d55fbb2fb3103dbe1414a20a44623dc1d.jpg,(0753)2262079/18218562079,(0753)2262079/18218562079, ,6,梅州市梅江区吉祥路11号, 
